variable,group,psi
tmin_mean_2017,LEON,10.699212815502735
tmin_mean_2017,SEGOVIA,10.648748844707443
tmin_mean_2017,ALBACETE,10.590658468586119
tmin_mean_2017,CUENCA,10.585605043610322
tmin_mean_2017,ARABA/ALAVA,10.568740615078879
tmin_mean_2017,SORIA,10.558332207709922
tmin_mean_2017,GIPUZKOA,10.520590986179066
tmin_mean_2017,BALEARES,10.386938990429245
tmin_mean_2017,MADRID,9.919478133271854
tmin_mean_2017,CANTABRIA,9.480656935601152
tmin_mean_2017,A CORUÑA,9.424128927707743
tmin_mean_2017,SALAMANCA,9.311494566035504
tmin_mean_2017,CIUDAD REAL,9.219460362173933
tmin_mean_2017,OURENSE,9.150481730411315
tmin_mean_2017,ALICANTE,9.125926957086584
tmin_mean_2017,NAVARRA,9.116417284816768
tmin_mean_2017,TERUEL,9.071508424632228
tmin_mean_2017,LA RIOJA,8.969167200021674
tmin_mean_2017,MALAGA,8.92843889799229
tmin_mean_2017,ZAMORA,8.910048284192412
tmin_mean_2017,ASTURIAS,8.85361638341053
tmin_mean_2017,JAEN,8.131371874672931
tmin_mean_2017,ALMERIA,7.959044990778619
tmin_mean_2017,ZARAGOZA,7.803274045336176
tmin_mean_2017,PONTEVEDRA,7.7871106367801906
tmin_mean_2017,CASTELLON,7.779664617311292
tmin_mean_2017,GIRONA,7.288828062708053
tmin_mean_2017,ILLES BALEARS,7.082498347245874
tmin_mean_2017,TOLEDO,6.63225596627002
tmin_mean_2017,LLEIDA,6.558298616005111
tmin_mean_2017,CADIZ,6.377415328892185
tmin_mean_2017,BARCELONA,6.349304524268009
tmin_mean_2017,HUESCA,6.2342195803910005
tmin_mean_2017,HUELVA,5.679718236851206
tmin_mean_2017,TARRAGONA,5.4224893288011025
tmin_mean_2017,SEVILLA,5.398666871390649
tmin_mean_2017,GRANADA,5.341764720427605
tmin_mean_2017,VALENCIA,5.2807467016981064
tmin_mean_2017,BADAJOZ,5.09498947719274
tmin_mean_2017,MURCIA,5.052170639556031
tmin_mean_2017,CORDOBA,3.7130030780257517
tmin_mean_2017,CACERES,2.676147081455503
